,Domain,Phylum,Class,Order,Family,Genus
OTU1093,d__Archaea,p__Halobacterota,c__Methanocellia,o__Methanocellales,f__Methanocellaceae,g__Rice_Cluster_I
OTU1094,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__CCM11a,f__CCM11a,g__CCM11a
OTU1095,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia,f__Gracilibacteraceae,g__Gracilibacter
OTU1096,d__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae,g__Marininema
OTU1097,d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Garciellaceae,g__Garciella
OTU1098,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Phycicoccus
OTU1099,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__053A03-B-DI-P58,f__053A03-B-DI-P58,g__053A03-B-DI-P58
OTU1100,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Methanomassiliicoccus
OTU1101,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,g__uncultured
OTU1102,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,__,__,__
OTU1103,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,__,__
OTU1104,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Planctomycetales,f__uncultured,g__uncultured
OTU1105,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptosporangiales,f__Streptosporangiaceae,g__Microbispora
OTU1106,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_sensu_stricto_9
OTU1107,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Rickettsiales,g__Candidatus_Jidaibacter
OTU1108,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Sarcina
OTU1109,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__Ellin516
OTU1110,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylopilaceae,g__Hansschlegelia
OTU1111,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Kineosporiales,f__Kineosporiaceae,g__Angustibacter
OTU1112,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Parablastomonas
OTU1113,d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Anaerocolumna
OTU1114,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SJA-15,f__SJA-15,g__SJA-15
OTU1115,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bacteriovoracales,f__Bacteriovoracaceae,__
OTU1116,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Pseudoxanthobacter
OTU1117,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae,g__Spirosoma
OTU1118,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bacteriovoracales,f__Bacteriovoracaceae,g__uncultured
OTU1119,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Virgibacillus
OTU1120,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,__,__
OTU1121,d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__uncultured,g__uncultured
OTU1122,d__Bacteria,p__Firmicutes,c__Clostridia,o__Christensenellales,f__Christensenellaceae,g__uncultured
OTU1123,d__Archaea,p__Crenarchaeota,c__Nitrososphaeria,__,__,__
OTU1124,d__Bacteria,p__Firmicutes,c__Clostridia,o__Christensenellales,f__Christensenellaceae,__
OTU1125,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhodobiaceae,g__Afifella
OTU1126,d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriales,g__Alkalibaculum
OTU1127,d__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__uncultured,f__uncultured,g__uncultured
OTU1128,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Ardenticatenales,f__Ardenticatenaceae,g__Ardenticatenaceae
OTU1129,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__cvE6,g__cvE6
OTU1130,d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Defluviitaleaceae,g__Defluviitalea
OTU1131,d__Bacteria,p__FCPU426,c__FCPU426,o__FCPU426,f__FCPU426,g__FCPU426
OTU1132,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Pseudofulvimonas
OTU1133,d__Bacteria,p__Chloroflexi,c__Chloroflexi,o__Chloroflexi,f__Chloroflexi,g__Chloroflexi
OTU1134,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Silvanigrellales,f__Silvanigrellaceae,g__Silvanigrella
OTU1135,d__Bacteria,p__Firmicutes,c__Clostridia,o__Proteinivoracales,f__uncultured,g__uncultured
OTU1136,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Amoebophilaceae,g__uncultured
OTU1137,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,__,__
OTU1138,d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmataceae,g__Candidatus_Lumbricincola
OTU1139,d__Archaea,p__Aenigmarchaeota,c__Deep_Sea_Euryarchaeotic_Group(DSEG),o__Deep_Sea_Euryarchaeotic_Group(DSEG),f__Deep_Sea_Euryarchaeotic_Group(DSEG),g__Deep_Sea_Euryarchaeotic_Group(DSEG)
OTU1140,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Polymorphobacter
OTU1141,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Chlamydiaceae,g__uncultured
OTU1142,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriales,g__Corynebacteriales
OTU1143,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Zavarziniales,f__uncultured,g__uncultured
OTU1144,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Intrasporangium
OTU1145,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,__
OTU1146,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__MM2
OTU1147,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bacteriovoracales,f__Bacteriovoracaceae,g__Bacteriovorax
OTU1148,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Kerfeldbacteria,f__Candidatus_Kerfeldbacteria,g__Candidatus_Kerfeldbacteria
OTU1149,d__Bacteria,p__Firmicutes,c__Bacilli,o__uncultured,f__uncultured,g__uncultured
OTU1150,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Paracaedibacterales,f__Paracaedibacteraceae,g__Candidatus_Captivus
OTU1151,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__Phycisphaera
OTU1152,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae,g__Uliginosibacterium
OTU1153,d__Bacteria,p__Firmicutes,c__Desulfitobacteriia,o__Desulfitobacteriales,f__Desulfitobacteriaceae,g__Desulfitobacterium
OTU1154,d__Bacteria,p__Firmicutes,c__Bacilli,o__Alicyclobacillales,f__Alicyclobacillaceae,__
OTU1155,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Subgroup_13,f__Subgroup_13,g__Subgroup_13
OTU1156,d__Bacteria,p__Firmicutes,c__uncultured,o__uncultured,f__uncultured,g__uncultured
OTU1157,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Salisediminibacteriaceae,g__Salipaludibacillus
OTU1158,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__PMMR1
OTU1159,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__[Polyangium]_brachysporum_group
OTU1160,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia,f__Hungateiclostridiaceae,g__Fastidiosipila
OTU1161,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__Myxococcaceae
OTU1162,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Caldilineales,f__Caldilineaceae,g__Caldilineaceae
OTU1163,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,__
OTU1164,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Rhodothermales,f__Rhodothermaceae,g__uncultured
OTU1165,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae,__
OTU1166,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Blastocatellales,f__Blastocatellaceae,g__Blastocatellaceae
OTU1167,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia,f__Hungateiclostridiaceae,g__Acetivibrio
